1_time_percent,1_error_X,1_error_Y,1_error_Angle,2_time_percent,2_error_X,2_error_Y,2_error_Angle,3_time_percent,3_error_X,3_error_Y,3_error_Angle,4_time_percent,4_error_X,4_error_Y,4_error_Angle
1.543938142330902e+18,9.15010070801,-27.9103546143,2.06187009811,1.5439385040643474e+18,-66.6255340576,-1.94778442383,-6.40255403519,1544027875803070318,120.221557617,-87.8341827393,-50.9297637939,1.5440286533748163e+18,-5.03434753418,27.2824783325,-8.23571491241
1.543938142564198e+18,10.795211792,-28.1675720215,3.15062499046,1.5439385041423186e+18,-66.6594696045,-1.32959747314,-1.17566287518,1544027875853654252,118.68598175,-85.7112121582,-51.3303604126,1.5440286534649367e+18,3.29312133789,26.7465744019,-8.87310409546
1.5439381427437407e+18,14.4676818848,-31.6093139648,5.33697652817,1.5439385041432223e+18,-65.2454681396,-1.77335357666,-0.438139975071,1544027875938397648,117.150398254,-83.5882568359,-51.7309532166,1.5440286534658532e+18,4.11585998535,27.2582931519,-5.50167512894
1.543938142851587e+18,15.4736633301,-31.7069091797,7.45006656647,1.5439385042728888e+18,-65.261428833,-3.47330474854,-2.35546183586,1544027876041627507,115.614814758,-81.4652862549,-52.1315498352,1.5440286534711217e+18,5.40432739258,27.048324585,-3.27434825897
1.5439381430101821e+18,16.8461761475,-32.3060302734,9.35941982269,1.543938504342367e+18,-61.5779418945,-0.363777160645,-1.49144244194,1544027876225486446,64.6822662354,-9.59523010254,32.0264549255,1.5440286535420303e+18,0.453582763672,25.7363815308,-1.48406672478
1.5439381431989225e+18,20.6375732422,-32.2932891846,8.7665681839,1.5439385043424192e+18,-60.2394104004,0.15510559082,-3.19098734856,1544027876420327102,52.6686782837,7.32237243652,43.8114776611,1.5440286536407767e+18,-0.695159912109,24.4907836914,-0.213781446218
1.5439381433073556e+18,27.1417694092,-36.1832427979,8.2286567688,1.543938504462843e+18,-61.5559692383,1.20990753174,2.06390309334,1544027876539640009,40.655090332,24.2399749756,55.5965003967,1.5440286537271232e+18,0.159652709961,22.4516830444,-2.73195028305
1.5439381434064156e+18,31.581741333,-38.3208618164,9.23786640167,1.543938504559765e+18,-58.227645874,0.585807800293,1.4581040144,1544027876656154746,12.1521759033,38.9795227051,4.8072385788,1.5440286537288773e+18,-0.443084716797,22.033782959,-3.10176801682
1.5439381435208228e+18,16.2263031006,-32.3649749756,7.77453756332,1.5439385045602565e+18,-55.5799713135,-0.369071960449,1.97209358215,1544027876803460851,-5.25086975098,55.1852416992,6.56612920761,1.5440286537289103e+18,-0.0256195068359,22.722366333,-6.21216726303
1.5439381435214446e+18,15.5488586426,-31.4324951172,3.37353658676,1.5439385046586724e+18,-55.3143920898,2.56114196777,0.100514702499,1544027877087239637,-22.6539154053,71.3909606934,8.32501983643,1.5440286537976573e+18,1.7566986084,24.2478790283,-4.05284166336
1.5439381436257254e+18,15.9641265869,-27.3373260498,4.20281410217,1.5439385047911383e+18,-54.4356384277,2.92155456543,0.741277515888,1544027877226023689,-40.0569610596,87.5966796875,10.0839099884,1.544028653798414e+18,1.00239562988,24.5566329956,-7.72102165222
